Monster Name,Description
Displacer Beast,"This monstrous predator takes its name from its ability to displace light so that it appears to be several feet away from its actual location. A dis placer beast resembles a sleek great cat covered in blue-black fur. However, its otherworldly origins are clear in its six legs and the two tentacles sprouting from  its shoulders, both ending in pads tipped with spiky protrusions. A dis placer beast's eyes glow with an awful' malevolence that persists even in death.  Unseelie Origins. Displacer beasts roamed the twilight lands of the Feywild for ages, until they were captured and trained by the Unseelie Court. The warriors of the court selectively bred the beasts to reinforce their ferocious and predatory nature, using them to hunt unicorns, pegasi, and other wondrous prey. However, it didn't take long for  the displacer beasts to  use their malevolent intelligence to escape their masters.  Running and breeding freely in the Feywild, the displacer beasts soon came to the attention of the Seelie Court. With blink dog companions at their side, fey hunters drove these predators to the fringes of the Feywild, where many crossed over to the Material Plane. To this day,  displacer beasts and blink dogs attack each other on sight.  Love of the Kill. Dis placer beasts kill not just for food but also for sport. They target prey even when not hungry, often toying with their victims to entertain themselves until they are ready to eat. After killing its prey using its tentacles, a displacer beast drags the corpse to a quiet place where it can feed without distraction.  Displacer beasts hunt alone or in small prides that demonstrate skill at setting ambushes. A single beast will strike and withdraw, luring prey into a densely wooded area where its packmates wait. Packs of displacer beasts hunting near trade roads recall the frequency and schedule of regular caravans, laying down ambushes to  pick off those caravans.  Large monstrosity,  lawful evil  Armor Class  13  (natural armor) Hit Points 85  (10d10 + 30) Speed 40ft. "
Djinni," Proud, sensuous genies from the Elemental Plane of Air,  the djinn are attractive, tall, well-muscled humanoids with blue skin and dark eyes. They dress in airy, shimmering silks, designed as much for comfort as to  flaunt their musculature.  Airy Aesthetes. Djinn rule floating islands of  clouds tuff covered with enormous pavilions, or topped with wondrous buildings, courtyards, fountains, and gardens. Creatures of comfort and ease, djinn enjoy succulent fruits, pungent wines, fine  perfumes, and beautiful music."
Djinni,"Large elemental, chaotic good  Armor Class 17  (natural armor) Hit  Points 161  (14d10 + 84) Speed 30ft., fly  90ft. "
Doppelganger,"Doppelgangers are devious shapeshifters that take on the appearance of other humanoids, throwing off pursuit or luring victims to their doom with misdirection an.d disguise. Few creatures spread fear, suspicion, and deceit better than doppelgangers. Found in every land and culture, they can take on the guise of any individual of any race.  Stealing Secrets. A doppelganger's adopted form allows it to blend into almost any group or community, but its transformation doesn't impart languages, mannerisms, memory, or personality. Doppelgangers often follow or capture creatures they intend to impersonate, studying them and probing their minds for secrets. A doppelganger can read a creature's surface thoughts, allowing it to glean that creature's name, desires, and fears, along with a few scattered memories. A doppelganger impersonating a specific creature as"
Draft Horse,"Large  beast,  unaligned  Armor Class 10 Hit Points 19  (3d10 + 3) Speed 40ft. "
Dragon Turtle,"Gargantuan dragon,  neutral  Armor Class 20 tnatural armor) Hit Points 341  (22d20 + 110) Speed 20ft., swim 40ft. "
Dretch," Dretches are among the weakest of demons- repulsive, self-loathing creatures doomed to spend eternity in a state of perpetual discontent. Their low intelligence makes dretches unsuitable for anything but the simplest tasks. However, what they lack in potential, they make up for in sheer malice. Dretches mill about in  mobs, voicing their displeasure as an unsettling din of hoots, snarls, and grunts. "
Drider,"Large  monstrosi~y, chaotic evil  Armor Class 19  (natu ral  armor) Hit Points 123  (13d10 +52) Speed 30ft., climb 30ft. "
Druid,"Medium  humanoid (any  race),  any alignment  Armor Class 11  (16 with  barkskin) Hit Points 27  (5d8 + 5) Speed  30ft. "
Dryad,"Travelers entering a forest might catch a glimpse of a feminine form flitting through the trees. Warm laughter hangs on the air, drawing those who hear it deeper into the emerald shadows.  Treebound. Powerful fey will sometimes bind lesser fey spirits to  trees, transforming them into dryads. This is sometimes done as a punishment when the fey spirit falls in love with a mortal and that love is forbidden.  A dryad can emerge from  the tree and travel the lands  around it,  but the tree remains her home and roots her to the world. As long as the tree remains healthy and unharmed, the dryad stays forever youthful and alluring. If the tree is harmed, she suffers. If the tree is ever destroyed, the dryad descends into madness.  Reclusive Fey.  Dryads act as guardians of their woodland demesnes. Shy and reclusive, they watch interlopers from the trees. A dryad struck by the beauty of a stranger might investigate more closely, perhaps even try to lure the individual away to be charmed.  Dryads work with other sylvan creatures to defend their forests. Unicorns, treants, and satyrs live alongside t~em, i~ addition to druids that share the dryads' devotion to the woods they call home.  Woodland Magic.  Dryads can speak with plants and  animals. They can teleport from one tree to another, luring interlopers away from  their groves. If pressed, a dryad can beguile liumanoids with her enchantments, turning enemies into friends. They also know a handful of useful spells. "
Duergar,"The tyrannical duergar, also known as gray dwarves, dwell in fantastic cities deep in the Underdark. Using ancient dwarven knowledge and myriad slaves, they work tirelessly to expand their subterranean kingdoms. Most duergar (including females) are bald and have  ashen gray skin. They wear drab clothing designed to blend in with stone, along with simple jewelry that reflects their severe and utilitarian demeanor.  Slaves to Slavers. The duergar were once dwarves, before their greed and endless delving beneath the earth brought them into contact with the mind ftayers.  Held in captivity for generations by the illithids, the dwarves eventually won their independence with the aid of the evil god Laduguer. Slavery had forever changed them, however, darkening their spirits to  make the duergar as evil as the tyrants they had escaped. Despite winning their freedom , duergar are dour, pessimistic, untrusting creatures, always toiling and complaining, with no memory of what it means to  be happy or proud. Their craftsmanship and accomplishments endure, yet they are bereft of warmth or artistry.  Duergar make war against their dwarven kin and all  other subterranean races. They forge alliances when it is convenient, then break those alliances when they have nothing more to gain. They take and hold slaves to toil in the Underdark, regarding them as free labor and crude currency.  Tough as Stone. Like dwarves, duergar have strong  constitutions. Adding to their physical stamina is an incredible mental fortitude resulting from their time as slaves of the illithids. A duergar's mind is a fortress, able to shrug off charms, illusions, and other spells.  Born of Darkness. The Underdark is saturated with  strange magical power, which the duergar absorbed over generations of imprisonment. A duergar can"
Duodrone, The blocky duodrones supervise units of monodrones and can perform up to two tasks at a time. 
Dust Mephit," Composed of earth and air, dust mephits are drawn to catacombs and find death morbidly fascinating.  Ic E  MEPHIT  Comprising frigid air and water,  ice mephits are aloof and cold, surpassing all other mephits in pitiless cruelty.  DusTMEPHIT Small elemental, neutral evil  Armor Class 12 Hit Points 17  (5d6) Speed 30 ft. , fly 30ft.  Armor Class 11 Hit Points 21 (6d6) Speed 30 ft., fl y 30ft. "
Eagle,"Small beast, unaligned  Armor Class 12 Hit Points 3  (1d6) ' Speed 10 ft ., fly  60 ft.  ~ "
Efreeti," Hulking genies of the Elemental Plane of Fire, the efreet aPe masters of flame,  immune to fire and able to create it on a whim. Fine silk caftans and damask robes drape their magma-red or coal-black skin, and they bedeck themselves in brass and gold torcs, chains, and rings, all glittering with jewels. When an efreeti flies,  its lower body transforms into a column of smoke and embers.  Haughty and Cruel. The efreet are deceptive,  cunning, and cruel to the point of ruthlessness. They despise being forced into servitude and are relentless in pursuit of vengeance against creatures that have wronged them. Efreet don't see themselves in this light, naturally, and regard their race as fair and orderly, even as they admit to an enlightened sense of self-interest. Spiteful Slavers. Efreet view all other creatures as enemies or potential serfs. They raid the Material Plane and the elemental planes for slaves, which they capture and bring back to their homes on the Elemental Plane of Fire. The efreet rule as oppressive tyrants, promoting only the cruelest among their slaves. Those overseers are given whips to help keep the rank-and-file slaves in line.  Planar Raiders. Most efreet reside on the Elemental Plane of Fire, either in great domed fortresses of black glass and basalt surrounded by churning lakes of fire,  or in the fabled City of Brass. Additionally, efreet military outposts thronging with their minions and slaves can be found scattered throughout the planes.  On the Material Plane, efreet dwell in fiery regions  such as v0lcanoes and the burning expanses of the "
Elephant,"Huge  beast,  unaligned  Armor Class 12  (natural armor) Hit Points 76  (8d12 + 24) Speed 40ft. "
Elk,"Large beast,  unaligned  Armor Class 10 Hit Points 13  (2d10 + 2) Speed 50 ft. "
Empyrean,"Empyreans are the celestia l children of the gods of the Upper Planes. They are universally beautiful, statuesque, and self-assured.  Manifest Emotion. An empyrean can experience  deity-like fits of serenity or rage. It can affect the environment a round it by its mood. When an empyrt';,an is unhappy, the clouds might cry tears of salt water, the wildflowers in s urrounding meadows might wilt, dead fish might wash ashore in lakes or rivers, or a nearby forest might lose the leaves from its trees. When an empyrean is jubilant, sunlight follows it everywhere, small animals frolic in its footsteps, and birds fill  the sky with their pleasing songs.  Evil Empyreans. A few empyreans have turned to evil after venturing to the Lower Planes and becoming corrupted, or as the result of being cursed by evil gods. An evil empyrean can't s urvive long on the Upper Planes and usually retreats to the Material Plane, where it can rule over a kingdom of mortals as an indomitable tyrant.  Immortal Titans. Empyreans don't age but can be slain. Because few empyreans can imagine their own demise, they fight fearlessly when drawn into battle, refusing to believe that the end is upon them even when standing at death's door. When an empyrean dies, its spirit returns to its home plane. There, one of the fallen empyrean's parents resurrects the empyrean unless he or she has a good reason not to.  Huge celestial (titan),  chaotic good (75%) or neutral evil (25%)  Armor Class 22  (natural armor) Hit Points 313  (19d12 + 190) Speed 50 ft., fly  50 ft.,  swim 50 ft. "
Erinyes," The most beautiful and striking of all lesser and greater devils, the erinyes are fierce and disciplined warriors. Sweeping down from  the skies, they bring swift death to creatures that have wronged their masters or defied the edicts of Asmodeus. The erinyes appear as male or female humanoids with statuesque builds and large feathery wings. Most wear stylized armor and horned helms, and carry exquisite swords and bows. A few also use ropes of entanglement to ensnare powerful foes.  Layer  Layer  Name  Archduke or Archduchess  Previous  Rulers  Primary Inhabitants  l  2  3  4  5  6  7 8 9  Avernus  Zariel  Dis  Minauros  Dis pater  Mammon  Phlegethos  Belial  and  Fierna  Stygia  Malbolge  Levi stus  Glasya  Maladomini  Baalzebul  Cania  Nessus  Mephistopheles  Asmod eus  Bel,  Tiam at  Erinyes , imps,  spined devils  Bearded  devils,  erinyes,  imps,  spined  devils  Bearded  devils, chain  devils,  imps,  spined devils  Barbed  devils,  bone devils,  imps, spined  devils  Geryon  Bone devils, erinyes,  ice devils,  imps  Malagard,  Moloch  Barbed  devils,  bone devils,  horned devils,  imps  Barbed devils,  bone devils, horned devils,  imps  Horned devils,  ice  devils,  imps,  pit fiends  All  devils  68"
Erinyes,"Medium fi end (devil), lawfu l evil  Armor Class  18 (plate) Hit Points  153 (18d8 + 72) Speed  30ft., fl y 60ft. "
Faerie Dragon,"A faerie dragon is a cat-sized dragon with butterfly wings. It wears a sharp-toothed grin and expresses its delight by the twitching of its tail, its merriment f~dlng only if it is attacked.  ·  Invisible Tricksters. The only warning of a faerie dragon's presence is a stifled giggle. The dragon'sfays out of sight, watching invisibly as its victims cop,tend. · with its pranks. When its fun is done, the dragon might reveal itself, depending on the disposition of its ""prey."" Friendly and Bright. A faerie dragon has a sharp mind, a fondness for treasure and good company, and a puckish sense of humor. Travelers can play to a faerie dragon's draconic nature by offering it ""treasure"" in the form of sweets, baked goods, a nd baubles in exchange for information or safe passage through its territory.  The Colors of Age. A faerie dragon's scales change  hue as it ages, moving through all the colors of the rainbow. All faerie dragons have innate spellcasting ability, gaining new spells as they mature.  Dragon Color Red Orange Yellow Green Blue Indigo Violet  Age  Range 5 years or less 6- 10 years 11-20 years 21-30 years 31-40 years 41-50 years 51  years or more "
Fire Elemental," A faint humanoid shape threads through the core of this wild, moving flame. A fire elemental is a force of capricious devastation. Wherever it moves, it sets. its surroundings ablaze, turning the world to ash, smoke, and cinders. Water can halt its destructive progress, causing the fire elemental to shrink back, hissing and smoking in pain and rage. "
Flying Snake,"Tiny  beast,  unaligned  Armor Class 14 Hit Points 5  (2d4) Speed 30 ft. , fly  60 ft.,  swim  30ft. "
Flying Sword," A flying sword dances through the air, fighting with the confidejlce of a warrior that can't be injured. Swords are the most common weapons animated with magic. Axes, clubs, daggers, maces, spears, and even self loading crossbows are also known to exist in animated object form. "
Frog,"Tiny  beast,  unaligned  Armor Class 11 Hit Points 1  (1d4- 1) Speed 20ft., swim  20ft. "
Ghost,"Medium  undead,  any alignment  Armor Class  11 Hit Points 45  (10d8) Speed 0 ft.,  fly  40ft. "
Ghoul,"Medium  undead, chaotic evil  Armor Class 12 Hit Points 22  (5d8) Speed 30ft. "
Giant Badger,"Medium  beast,  unaligned  Armor Class 10 Hit Points 13  (2d8 + 4) Speed 30ft., burrow 10ft. "
Giant Bat,"Large beast,  unaligned  Armor Class  13 Hit  Points 22  (4d10) Speed 10ft., fly  60ft. "
Giant Boar,"Large beast,  unaligned  Armor Class 12  (natura l armor) Hit Points 42  (5d10 + 15) Speed 40ft. "
Giant Centipede,"Small beast,  unaligned  Armor Class 13  (natural armor) Hit  Points 4 (1d6 + 1) Speed  30ft., climb 30ft. "
Giant Constrictor Snake,"Huge  beast,  unaligned  Armor Class 12 Hit Points 60  (8d12 + 8) Speed 30ft. , swim  30ft.  ,  /{  1 "
Giant Crab,"Medium  beast, unaligned  Armor Class 15  (natural  armor) Hit Points 13  (3d8) Speed 30ft., swim  30ft. "
Giant Eagle,"Large beast, neutral good  Armor Class 13 Hit Points 26  (4d10 + 4) Speed 10ft.,  fly  80ft. "
Giant Elk,"Huge  beast, unaligned  Armor Class 14  (natural armor) Hit  Points 42  (Sd12 + 10) Speed 60ft. "
Giant Fire Beetle,"Small beast,  unaligned  Armor Class 13  (natural armor) Hit Points 4 (1d6 + 1) Speed 30ft. "
Giant Frog,"Medium  beast,  unaligned  Armor Class  11 Hit  Points  18  (4d8) Speed 30ft., swim  30 ft. "
Giant Goat,"Large beast,  unaligned  Armor Class 11 (natural armor) . Hit Points 19  (3d10 + 3) Speed 40ft. "
Giant Hyena,"Large  beast,  unaligned  Armor Class 12 Hit Points 45  (6d10 + 12) Speed 50 ft. "
Giant Lizard,"Large beast,  unaligned  Armor Class 12  (natu ral  armor) Hit Points 19  (3d10 + 3) Speed 30ft., climb 30ft. "
Giant Octopus,"Large beast,  unaligned  Armor Class 11 Hit Points 52  (8d10 + 8) Speed 10ft., swim  60ft. "
Giant Owl,"Large beast,"" neutral  Armor Class 12 Hit Points 19  (3d1 0 + 3) Speed 5 ft.,  fly  60ft.  )'.10\ lCE. "
Giant Poisonous Snake,"Medium  beast,  unaligned  Armor Class 14 Hit  Points 11  (2d8 + 2) Speed 30ft., swim  30ft.  Pack Tactics.  The  rat has  advantage on  an  attack roll  against a creature if at least one of the rat's allies  is  within  5 feet of the creature and the ally  isn't incapacitated. "
Giant Rat,"Small beast, unaligned  Armor Class 12 Hit Points  7 (2d6) Speed 30ft. "
Giant Scorpion,"Large  beast,  unaligned  Armor Class  15  (natural armor) Hit Points 52  (7d10 + 14) Speed 40ft. "
Giant Sea Horse,"Large beast,  unaligned  Armor Class  l3  (natural armor) Hit Points 16  (3d10) Speed 0 ft.,  swim 40ft. "
Giant Shark,"Huge  beast, unaligned  Armor Class  l3  (natural armor) Hit Points 126  (11d12 +55) Speed 0 ft.,  swim  50 ft . "
Giant Spider,"Large beast,  unaligned  Armor Class 14  (natural armor) Hit Points 26  (4d10 + 4) Speed  30ft., climb 30ft. "
Giant Toad,"Large beast,  unaligned  Armor Class  11 Hit Points 39  (6d10 + 6) Speed 20  ft.,  swim 40ft. "
Giant Vulture,"Large  beast,  neutral evil  Armor Class 10 Hit  Points 22  (3d10 + 6) Speed 10ft., fly  60ft. "
Giant Wasp,"Medium  beast,  unaligned  Armor Class 12 Hit  Points 13  (3d8) Speed 10ft., fly  50 ft.  Standing Leap. The toad's long jump is  up to  20 feet  and  its high  jump is  up to 10 feet,  with  or without a running start. "
Giant Weasel,"Medium  beast,  unaligned  Armor Class  13 Hit Points 9 (2d8) Speed 40ft. "
Giant Wolf Spider,"Medium  beast,  unaligned  Armor Class 13 Hit  Points  11  (2d8 + 2) Speed 40 ft.,  cl imb 40 ft . "
Gibbering Mouther,"Of all the terrors created by foul sorcery, gibbering mouthers are among the most wicked and depraved. This creature is the composite eyes, mouths, and liquefied matter of its former victims. Driven to insanity by the destruction of their bodies and absorption into the mouther, those victims gibber incoherent madness, forced  to consume everything in reach.  Amoeboid Form. The gibbering mouther's body is an amorphous mass of mouths and eyes that propels itself by oozing forward,  fastening several mouths to  the ground and pulling its bulk behind. Though it moves slowly, it swims through water, mud, and quicksand with ease.  Mouths of Madness. When a gibbering mouther senses prey, its mouths begin to murmur and chatter, each with a different voice: deep or shrill, wailing or ululating, crying out in agony or ecstasy. This cacophonous gibbering overcomes the senses of any creature that hears it, causing most to flee in terror. Others are overcome with madness or stand paralyzed, fixated  on the horrific creature as it oozes forward to consume them.  All-Consuming. Driven to devour any creature it can reach, a gibbering mouther flows over victims transfixed by its mad ranting, its multitudinous voices temporarily silenced as it gnaws and swallows living flesh . The monster liquefies stone with which it comes into contact, hindering creatures that overcome its gibbering and attempt to flee.  A gibbering mouther leaves nothing of its prey  behind. However, even as the last of a victim's body is consumed, its eyes and mouth boil to the surface, ready to join the chorus of tormented gibbering that welcomes the monster's next meal. "
Githzerai Zerth,"Medium  humanoid (gith) , lawful neutral  Armor Class 17 Hit Points 84 (13d8 + 26) Speed 30 ft . "
Glabrezu," A glabrezu takes great pleasure in destroying mortals through temptation, and these creatures are among the few demons to offer their service to creatures foolish enough to summon them.  Although glabrezus are devastating in combat, they prefer to tempt victims into ruin, using power or wealth as a lure. Engaging in guile, trickery, and evil bargains, a glabrezu hoards riches that it uses to  fulfill promises to shortsighted summoners and weak-willed mortals. However,.  if its attempts to entice or deceive fail,  a glabrezu has the strength to fight and win. "
Glabrezu,"Large fiend  (demon),  chaotic evil  Armor Class 17  (natural armor) Hit Points 157  (15d10 + 75) Speed 40ft. "
Gladiator,"Medium  humanoid (any  race),  any alignment  Armor Class 16  (studded  leather, shield) Hit Points 112  (15d8 + 45) Speed 30ft. "
Gnoll Fang of Yeenoghu," Gnolls celebrate their victories by performing demonic rituals and making blood offerings to Yeenoghu. Sometimes the demon lord rewards his worshipers by allowing one of them to  be possessed by a demonic spirit. Marked as Yeenoghu's favorite,  the lucky recipient becomes a fang ofYeenoghu, the chosen of the Gnoll Lord. In much the same way Yeenoghu created the first gnolls, a hyena that feasts on  a fang's slain foe undergoes a horrible transformation, becoming a full grown adu lt gnoll. Depending on  the number of hyenas in a region, a fang of Yeenoghu can lead to a startling increase in the gnoll population. Finding and killing the fang is the only way to keep that population in check."
Gnoll Fang of Yeenoghu,"Medium fiend  (gno/1),  chaotic evil "
Gnoll Pack Lord," The alpha of a gnoll pack is the pack lord, ruling by might and cunning. A pack lord earns the best of a gnoll · pack's spoils, food,  valuable trinkets, and magic items. It ornaments its body with brutal piercings and grotesque trophies, dyeing its fur with demonic sigils, hoping Yeenoghu will make it invulnerable. "
Gnoll Pack Lord,"Medium  humanoid (gno/1) , chaotic evil  Armor Class 15  (chain  shirt) Hit Points 49  (9d8 + 9) Speed 30ft. "
Goat,"Medium  beast, unaligned  Armor Class 1 0 Hit  Points 4 (1d8) Speed 40ft. "
Goblin Boss,"Small humanoid (goblinoid),  neutral evil  Armor Class 17 (chain shirt, shield) Hit Points 21  (6d6) Speed 30ft. "
Gold Dragon Wyrmling,"Medium dragon,  lawful good  Armor Class 17  (natural armor) Hit Points 60 (8d8 + 24) Speed 30ft., fly  60ft., swim  30ft. "
Gorgon,"Few creatures that encounter a gorgon live to tell about it.  Its body is covered in iron plates, and its nostrils fume with green vapor.  Horrific Structure. A gorgon's iron plates range from  steely black to gleaming silver, but this natural armor in no way hinders its movement or mobility. The oils of its body lubricate the armor. A sick or inactive gorgon gathers rust like fungus or mange. When a rusty gorgon moves, its  plates squeal as they rub together.  Monstrous Predator. When a gorgon spots potential  prey, it charges with a hideous clamor of metal on metal. When the gorgon hits, it pulverizes the foe and sends its sprawling, then tramples it to death with its cruel hooves. Faced with multipl e foes, the gorgon exhales its deadly vapor to overcome the creatures it touches by turning them to stone. When it grows hungry, it smashes its petrified prey to  rubble and uses its strong teeth to grind the stone into a powder that provides nourishment. The crisscrossing network of trampled trails and splintered trees that s urrounds a gorgon lair is strewn with the uneaten fragments of its shattered foes.  Large monstrosity, unaligned  Armor Class 19  (natural armor) Hit Points 114  (12d10 + 48) Speed 40ft. "
Goristro," The goristro resembles a fiendish minotaur t0wering1 more than twenty feet tall. When controlled by a demon lord, goristros make formidable living siege engines and prized pets. Goristros possess preternatural cunning when navigating labyrinthine passages and shifting corridors, pursuing foes in a terrifying hunt.  A hulking goristro sometimes bears a palanquin,.  carrying smaller demons on its broad shoulders, m~ch like an elephant carries riders on its back:  r "
Gray Ooze," A gray ooze is stone turned to liquid by chaos. When it moves, it slithers like a liquid snake, fising to strike. "
Gray Ooze,"Medium ooze,  unaligned  Armor Class 8 Hit Points 22  (3d8 + 9) Speed 10ft., climb 10ft. "
Gray Slaad," Outside of Limbo, gray slaadi act as living extensions of the will of their masters, the death slaadi. A gray slaad journeys to the Material Plane on errands of doom, often taking humanoid form. A gray slaad learns how to  master the use of a greatsword and imbue it with its own innate magic.  A gray slaad that eats the entire corpse of a dead death slaad instantly transforms into a death slaad. "
Green Dragon Wyrmling,"Medium  dragon, lawful evil  Armor Class 17  (natural armor) Hit Points 38  (7d8 + 7) Speed 30ft., fly  60ft. , swim 30ft. "
Green Hag," The wretched and hateful green hags dwell in dying forests, lonely swamps, and misty moors, making their homes in caves. Green hags love to manipulate other creatures into doing their bidding, masking their intentions behind layers of deception. They lure victims to them by mimicking voices calling out for help, or drive unwanted visitors away by imitating the cries of fierce beasts.  Obsession with Tragedy. Green hags revel in the failings and tragedies of other creatures. They derive jby from bringing people low and seeing hope turn into despair, not just for individuals but also for whole nations.  Covens. A green hag that is part of a coven (see the ""Hag Covens"" sidebar) has a challenge rating of"
Grell,"Medium  aberration, neutral evil  Armor Class 12 Hit Points  55  (10d8 + 10) Speed 10ft., fly  30ft. (hover) "
Grick,"The wormlike grick waits unseen, blending in with the rock of the caves and caverns it haunts. Only when prey comes  near does it rear up, its four barbed tentacles unfurling to reveal its hungry, s napping beak.  Passive Predators. Gricks rarely hunt. Instead, they  drag their rubbery bodies  to  places where creatures regul a rly pass, lurking out of sight amid rocky rubble and debris, squeezing into burrows, holes, or crevices, climbing up to  ledges, or coiling a round stalactites to drop on unwary prey.  A grick consumes virtually anything that moves except for  other gricks. It targets the nearest prey, grabbing a fall en creature with its tentacles and  dragging it off  to eat alone.  Roving Ambush ers. Gricks remain in an area until  the food s upply dwindles, often because s entient creatures become aware of their presence and plot alternate routes a round their lairs. When prey is scarce in  the  Underd ark , gricks venture aboveground to hunt in  the wilderness, lurking in  trees or on cliff-side ledges . A grick pack is often led by a single well-fed,  oversized a lpha around which the others congregate.  Spoils of Slaughter. Over time,  grick lairs accumulate  the cast-off possessions of intelligent prey, a nd expert guides  know to  look out for  these telltale signs. Underdark explorers sometimes seal  off the routes leading to a nd from  a grick lair to s tarve them,  then cla im  the wealth of the foul  creatures' victims . "
Grimlock,"The degenerate subterranean grimlocks were once human, but their worship of the mind flayers over generations of prowling the Underdark transformed them into blind, monstrous cannibals long ago.  Debased Cultists. The empire of the mind flayers once spread across many worlds, enslaving countless races. Among those were human cultures whose high priests  the mind flayers subverted using their insidious powers of thought control. Those leaders gradually turned the faiths of their followers toward the illithids, which they worshiped as blasphemous deities.  Over time, the rituals of these enslaved humans created fervent cannibal cults that regarded the brain eating of the mind flayers as a holy sacrament. The illithids commanded their worshipers to abduct other sentient creatures to be sacrificed. After the victims' brains had been consumed, the mind flayers gave the lifeless bodies to the cultists.  Blind Hunters. When the rule of the mind flayers crumbled, their cults faced constant warfare from their enemies, the same creatures that had once been their victims. The cults fled into the Underdark domains of their illithid gods. Over generations in that lightless realm, the cultists learned to rely on their other senses for survival. In time, their eyes withered away and eyelids sealed, leaving only covered eye sockets behind. A grimlock's ears prick up at the faintest footfa ll or whisper echoing down stone passageways. It can speak in tones too low for most other humanoids to hear. The odors of sweat, flesh, a nd blood awaken its  hunger, and it can track by such scents like a bloodhound. To enhance their senses, grim locks leave tra ils of blood, piles of dung, or the viscera of slai n prey in places far from their lairs. When intruders pass  through those areas, they carry the foul scents with them, wa rning the grimlocks of their approach.  For most creatures, blindness is an enormous hindrance. For a grimlock with its other heightened senses, sightlessness is a boon. A grimlock isn't fooled by visual illusions or misperceptions. It is fearless as it stalks  prey.  Endless War.  Grimlocks still venerate the mind  flayers, serving them whenever possible. Grim locks also recall the war in which they were driven underground. To them, it has never ended. They continue to return to the surface world to abduct captives for their illithid masters. "
Guard,"Medium  humanoid (any  race),  any alignment  Armor Class 16  (chain  shirt,  shield) Hit Points 11  (2d8  + 2) Speed 30ft. "
Gynosphinx," A gynosphinx bears the head of a humanoid female. Many have the regal countenances of worldly queens, but some are marked with wild, leonine features. A gynosphinx's eyes see beyond the present time and place, and penetrate veils of invisibility and magic. Supplicants who look deep into those eyes might find themselves magically displaced, banished to some far flung plane where a difficult trial awaits them.  Gynosphinxes are virtual libraries of knowledge and lore. They ask riddles and present puzzles to  test the wit of supplicants that come to learn their secrets. Some are willing to bargain with such supplicants for treasure or service. "
Harpy,"Taking glee in suffering and death, the sadistic harpy is always on the hunt for prey. Its sweet song has lured countless adventurers to their deaths, drawing them in close for the harpy to kill and then consume.  A harpy combines the body, legs, and wings of a vulture with the torso, arms, and head of a human. Its wicked talons and bone club make it a formidable threat in combat, and its eyes reflect the absolute evil of its soul.  Divine Curse. Long ago, an elf wandering a forest heard birdsong so pure and wholesome that she was moved to  tears. Following the music, she came upon a clearing where stood a  handsome elf youth who had also paused to hear the bird's song. This was Fenmarel Mestarine, a reclusive elf god. His divine presence stole her heart as he fled,  vanishing into the woods as if he was never there.  Though the elf searched the woods and called for  her  stranger, she found no sign of his passage. Driven  o1 despair by her longing, she begged the gods to help her. Aerdrie Faenya, elf goddess of the sky, heard the elf's cries and was moved to her aid. She appeared as the bird whose song had entranced the outcast god, then taught that song of beauty and seduction to the elf. . When her singing failed  to draw Fenmarel Mestarine to  her ~ide, the elf cursed the gods, invoking a dreadful power and transforming her into the first harpy. The curse worked its magic on the elf's spirit as well as her body, turning her desire for love into a hunger for flesh,  even as her beautiful song continued to draw creatures to her deadly embrace.  Harpy Song. To hear a harpy's song is to  hear music more beautiful than anything else in  the world. A traveler that succumbs to the entrancing effect of that singing is compelled to blunder toward its source. A harpy sometimes charms victims before it attacks, but a more effective use of its song is to lure prey over cliffs, into bogs and quicksand, or into deadly pits. Creatures trapped or incapacitated then become easy targets for the harpy's wrath.  Sadistic Cowards. Harpies haunt bleak coastal cliffs  and other places hazardous to non-flying creatures. Harpies have no interest in a fair fight,  and they never attack unless they have a clear advantage. If a fight  turns against a harpy, it lacks the cunning to adapt and will flee and go hungry rather than risk straight-up combat.  When they attack, harpies play with their food, delighting in the ""music"" their victims make as they scream. A harpy takes its time dismembering a helpless foe  and can spend days torturing a victim before the merciful end.  Gruesome Collectors. Harpies take shiny baubles, valuable objects, and other trophies from  their victims, sometimes fighting with each other for the right to claim the choicest prizes. When no valuable objects can be found, a harpy takes hair, bones, or body parts to line its nest. A harpy's lair is usually hidden in remote r'uins, where adventurers can discover valuable treasure and magic hidden beneath foul  piles of offal.  Armor Class  11 Hit Points 38  (7d8 + 7) Speed 20  ft. , fly  40ft. "
Hawk,"Tiny  beast,  unaligned  Armor Class 13 Hit Points 1 (1 d4 - 1) Speed 10 ft. , fly  60  ft . "
Hezrou," Hezrous serve as foot soldiers in the demoniG h~f1des of the Abyss. Although physically powerful, they are weak minded and hezrous can easily be duped into sacrificing themselves by more powerful demons. As they press their attacks into the heart of an enemy's forces, their foul stench can sicken even the toughest foes. "
